ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
3,41:38:00,A2-2,L3-2,Parent,Are there more cats or alligators? How many cats are there?,,1,,,,,,,,,,,2,1,,,,1,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
3,41:43:00,A2-2,L3-2,Child,"1, 2",,,,,,,,,1,,,1,2,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41:46:00,A2-2,L3-2,Parent,How many alligators?,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
3,41:47:00,A2-2,L3-2,Child,1,,,,,,,,,1,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41:48:00,A2-2,L3-2,Parent,So which is more? Kitty cat!,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
3,41:54:00,A2-2,,Parent,"Gut said pepperoni, pretzels pistachios and pickles would be just fine. But I really love popcorn on mine. Popcorn on the pizza. Pete and the gang were puzzled. Popcorn? popcorn. Well, that's something new but maybe popcorn could be groovy too.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,48:35:00,A2-3,L1-1,Parent,"Oh, here's the flowers. And here's the bees. How many are there? Ready?",,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,
3,48:42:00,A2-3,L1-1,Child,Can you count?,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,48:43:00,A2-3,L1-1,Parent,"1, 2.",,1,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
3,48:51:00,A2-3,,Parent,"What should you do when you get to her door? Put on a disguise and say guess who? Do you do that? Knack with a secret knock only she knows. Tap tap tap it tap. If you like cats, meow, If you like dogs, bark, if you like goldfish hmmm. When she opens the door shout grandma your babysitter is here.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49:23:00,A2-3,L1-2,Robot,How many bows are there in the little girl's hair?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49:26:00,A2-3,L1-2,Parent,Count. Count with me.,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
3,53:39:00,A2-3,L3-1,Robot,What do they have more of on the table eggs or fries?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,53:43:00,A2-3,L3-1,Parent,Do they have more eggs or fries? Here's the eggs or french fries.,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,
3,53:50:00,A2-3,L3-1,Child,Fries.,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,53:50:00,A2-3,L3-1,Parent,Lots of fries.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42:23:00,A2-2,L4-1,Parent,How many friends would there be if 1 more came?,,1,,,,,,,,,,,7,,1,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
3,42:26:00,A2-2,L4-1,Child,"1, 2, 3, 4, 5, 6, 7.",,,,,,,,,1,,1,,7,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42:31:00,A2-2,L4-1,Parent,Yeah. Maybe 6 if they didn't count Pete?,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
3,37:57:00,A2-2,L2-2,Robot,How many pretzels can you see in the picture?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,37:59:00,A2-2,L2-2,Parent,How many pretzels?,,1,,,,,,,,,,,5,,1,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
3,38:01:00,A2-2,L2-2,Child,"1, 2, 3, 4, 5, 6, 7.",,,,,,,,,1,,,1,7,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,38:05:00,A2-2,L2-2,Parent,"I think 1, 2, 3, 4, 5.",,1,,,,,,,,,,,5,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
3,38:12:00,A2-2,L2-2,Child,But that's just the picture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
