ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
6,34:38:00,A2-3,L3-3,Robot,Can you see the 8 fingers in the shadow? What number comes before 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:43:00,A2-3,L3-3,Child,9,,,,,,,,,1,,,1,9,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:44:00,A2-3,L3-3,Parent,Before,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
6,34:46:00,A2-3,L3-3,Child,I dont know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:58:00,A2-3,L3-3,Parent,We just said it,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
6,35:08:00,A2-3,L3-3,Child,"1, 2, 3, 4, 5, 6, 7, 8. 7, 7, 7!",,,,,,,,,1,,1,,7,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:18:00,A2-3,L3-3,Robot,7 comes before 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:31:00,A2-3,L4-2,Robot,If we had 2 more flowers on grandma's hat how many flowers would there be in total?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:37:00,A2-3,L4-2,Parent,How many are there do you see? Count them.,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6,35:43:00,A2-3,L4-2,Child,4,,,,,,,,,1,1,,,4,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:44:00,A2-3,L4-2,Parent,2 more,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
6,35:50:00,A2-3,L4-2,Child,6,,,,,,,,,1,,1,,6,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:53:00,A2-3,L4-2,Robot,There would be 6 flowers in total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:01:00,A2-2,L1-3,Robot,how many of Pete's friends are not green?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:05:00,A2-2,L1-3,Parent,How many are not green?,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6,39:09:00,A2-2,L1-3,Child,"1, 2, 3, 4",,,,,,,,,1,,,1,4,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:11:00,A2-2,L1-3,Parent,"no, not green.",,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
6,39:13:00,A2-2,L1-3,Child,All green?.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:14:00,A2-2,L1-3,Parent,Not green,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
6,39:16:00,A2-2,L1-3,Child,"1, 2, 3. 1, 2, 3, 4.",,,,,,,,,1,,,1,4,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:23:00,A2-2,L1-3,Parent,"That's pete, so not him, how many of his friends?",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
6,39:27:00,A2-2,L1-3,Child,"1, 2, 3. 3.",,,,,,,,,1,,1,,3,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:33:00,A2-2,L1-3,Robot,Pete has 3 friends who are not all green. He has so many friends.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41:58:00,A2-2,L2-4,Robot,How many pickles did Toad bring?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
